Commune,Département,Population F 15-49,Infra / 10 000 femmes,Priorité
Port-de-Paix,,62937.000,3.178,Priorité haute
Pétion-Ville,,120159.000,4.328,Priorité haute
Verrettes,,38984.000,3.591,Priorité haute
Petit-Goâve,,46232.000,4.326,Priorité haute
Dessalines,,47191.000,3.390,Priorité haute
Hinche,,43101.000,3.480,Priorité haute
Gros Morne,,40625.000,3.446,Priorité haute
Carrefour,,146744.000,3.952,Priorité haute
Petite Rivière de l'Artibonite,,42901.000,3.263,Priorité haute
Cité Soleil,,86828.000,4.261,Priorité haute
